CPU COOLER,PRICE,Inventory,cooler_fan_rpm,cooler_color
Deepcool Castle 280 RGB 96.7 CFM Liquid,28300,0,500 - 1800 RPM,Black
Alpenföhn Matterhorn Rev. C – White Edition 62.39 CFM,7500,0,600 - 2500 RPM,Black
ARCTIC Freezer 34 eSports DUO,27400,0,200 - 2100 RPM,Black
ID-COOLING SE-224-XT 76.16 CFM,16650,0,700 - 1800 RPM,Black
Scythe Shuriken 2 41.3 CFM,14450,0,300 - 2500 RPM,Black / Silver
Cooler Master MasterAir MA410M 53.38 CFM,9600,0,650 - 1800 RPM,Black
Silverstone PF240-ARGB 94 CFM Liquid,12300,0,600 - 2200 RPM,Black
Cooler Master MasterLiquid ML240L V2 RGB 62 CFM Liquid,24500,0,650 - 1800 RPM,Black
Gelid Solutions Rev. 4 Tranquillo 65.5 CFM,16900,0,750 - 1600 RPM,Black
Noctua NH-L9i chromax.black 33.84 CFM,19300,0,600 - 2500 RPM,Black
MSI MAG CORE LIQUID 360R 78.73 CFM Liquid,26100,0,500 - 2000 RPM,Black
ID-COOLING AURAFLOW 240 SNOW 74.5 CFM Liquid,26200,0,700 - 1800 RPM,Black
Corsair iCUE H150i RGB PRO XT 75 CFM Liquid,28450,0,2400 RPM,Black
Scythe Big Shuriken 3 50.79 CFM,18050,0,300 - 1800 RPM,Black / Silver
ARCTIC Freezer 33 eSports ONE (Black/Green),28650,0,200 - 1800 RPM,Black
Asus ROG STRIX LC 360 RGB 80.95 CFM Liquid,12150,0,800 - 2500 RPM,Black
ARCTIC Freezer A13 X CO,27850,0,300 - 2000 RPM,Black
Cooler Master Hyper 212 RGB Black Edition 57.3 CFM,12650,0,650 - 2000 RPM,Black
Asus ROG RYUJIN 360 121.8 CFM Liquid,16300,0,450 - 2000 RPM,Black
Cooler Master Hyper 212 EVO V2 62 CFM,8550,0,650 - 1800 RPM,Black
MSI MPG CORELIQUID K360 77.4 CFM Liquid,12500,0,0,Black
NZXT Kraken X42 Rev 2 98.17 CFM Liquid,15050,0,500 - 1800 RPM,Black
be quiet! Pure Rock Slim 2,21450,0,0,Black
Noctua NH-L12 Ghost S1 37.8 CFM,17800,0,300 - 1600 RPM,Silver / Beige
NZXT Kraken X63 RGB 91.19 CFM Liquid,25250,0,500 - 1500 RPM,Black
CRYORIG H7 Quad Lumi 49 CFM,17350,0,330 - 1600 RPM,Black
be quiet! Dark Rock Pro 3 67.8 CFM Fluid Dynamic Bearing,14300,0,1400 - 1700 RPM,Black
Cooler Master MasterLiquid ML120L RGB 66.7 CFM Liquid,19100,0,650 - 2000 RPM,Black
Phanteks Glacier One 240MP 60.51 CFM Liquid,13100,0,500 - 2200 RPM,Black / White
Enermax ETS-T50 AXE ARGB 71.32 CFM,20500,0,500 - 1600 RPM,Black
ARCTIC Liquid Freezer II 240 A-RGB 48.8 CFM Liquid,15400,0,200 - 1800 RPM,Black
Noctua NH-L9a-AM4 chromax.black 33.8 CFM,14350,0,600 - 2500 RPM,Black
Corsair iCUE H115i RGB Pro XT 63 CFM Liquid,11350,0,2200 RPM,Black
ARCTIC Freezer 34 eSports,22800,0,200 - 2100 RPM,Black
Corsair H100i PRO 75 CFM Liquid,15750,0,2400 RPM,Black
upHere C92 70 CFM,16150,0,800 - 1800 RPM,Black
be quiet! Pure Rock 51.7 CFM Sleeve Bearing,14400,0,1500 RPM,Black
Logisys MC4001IM 66.3 CFM,20300,0,500 - 1500 RPM,Black
Noctua NH-U9S chromax.black 46.4 CFM,14400,0,400 - 2000 RPM,Black
Cooler Master MasterLiquid 240 66.7 CFM Liquid,15850,0,650 - 2000 RPM,Black
be quiet! Pure Rock 2 Black,15900,0,1500 RPM,Black
Deepcool GAMMAXX 200T 54.25 CFM,5850,0,900 - 1600 RPM,Black
Antec A40PRO 36 CFM,10000,0,800 - 2200 RPM,Black
CRYORIG H7 ULTRA 59 CFM,17800,0,300 - 1600 RPM,Black / Silver
Deepcool GAMERSTORM CAPTAIN 240PRO V2 69.34 CFM Liquid,11350,0,500 - 1800 RPM,Black
Cooler Master MasterLiquid Lite 120 66.7 CFM Liquid,12150,0,650 - 2000 RPM,Black
NZXT Kraken X52 Liquid,12700,0,500 - 2000 RPM,Black
NZXT Kraken X62 Liquid,16200,0,500 - 1800 RPM,Black
ID-COOLING FROSTFLOW X 360 74.5 CFM Liquid,23900,0,700 - 1800 RPM,Black
Corsair H55 57 CFM Liquid,13600,0,1700 RPM,Black
EK EK-AIO 360 D-RGB 66.04 CFM Liquid,20450,0,450 - 2600 RPM,Black
Noctua NH-U12S 55 CFM,18800,0,300 - 1500 RPM,Black
Corsair H100i GTX 70.69 CFM Liquid,14850,0,2435 RPM,Black
EVGA CLC 280 113.5 CFM Liquid,27350,0,600 - 2200 RPM,Black
be quiet! Shadow Rock TF 2,15750,0,1400 RPM,Black
be quiet! Dark Rock Slim,15250,0,1500 RPM,Black
Cooler Master MASTERLIQUID ML120L RGB V2 65.59 CFM Liquid,20700,0,650 - 1800 RPM,Black
EK EK-AIO Basic 240 77 CFM Liquid,26250,0,550 - 2200 RPM,Black
CRYORIG H7 49 CFM,14050,0,330 - 1600 RPM,Black
Thermaltake Floe Riing RGB 360 TR4 Edition 54.42 CFM Liquid,19650,0,1000 - 2000 RPM,Black
Corsair iCUE H150i ELITE CAPELLIX 75 CFM Liquid,13000,0,2400 RPM,Black
Deepcool GAMMAXX GTE V2 64.5 CFM,2800,0,500 - 1650 RPM,Black
Xigmatek Cobra - D984 54.6 CFM,14700,0,1000 - 2800 RPM,Black
Cooler Master MASTERLIQUID ML240L RGB V2 65.59 CFM Liquid,20550,0,650 - 1800 RPM,Black
