Video Card,Video Card Price,gpu_chipset,gpu_memory,gpu_core_clock,gpu_boostclock,gpu_color
PowerColor Radeon RX 6900 XT 16 GB Red Devil Ultimate,380000,Radeon RX 6900 XT,16 GB,1825 MHz,2425 MHz,Black
Gainward GeForce RTX 3080 Ti 12 GB Phoenix,259800,GeForce RTX 3080 Ti,12 GB,1365 MHz,1665 MHz,Silver / Black
Gigabyte GeForce GTX 1050 2 GB OC,26500,GeForce GTX 1050,2 GB,1379 MHz,1518 MHz,Black / Orange
MSI Radeon RX 6700 XT 12 GB MECH 2X,115800,Radeon RX 6700 XT,12 GB,2321 MHz,Black / Silver,247 mm
PowerColor Radeon RX 6800 XT 16 GB Red Devil OC,186500,Radeon RX 6800 XT,16 GB,1825 MHz,2340 MHz,Black
Gigabyte GeForce RTX 3060 Ti 8 GB Vision OC,173000,GeForce RTX 3060 Ti,8 GB,1665 MHz,1755 MHz,Silver / White
Asus GeForce RTX 3080 Ti 12 GB TUF GAMING OC,261000,GeForce RTX 3080 Ti,12 GB,1365 MHz,1695 MHz,Black
NVIDIA GeForce RTX 3080 10 GB Founders Edition,225400,GeForce RTX 3080 10GB,10 GB,1440 MHz,1710 MHz,Black
Gigabyte GeForce RTX 3070 Ti 8 GB GAMING OC,175000,GeForce RTX 3070 Ti,8 GB,1575 MHz,1830 MHz,Black / Silver
Gigabyte GeForce RTX 3080 Ti 12 GB Vision OC,251500,GeForce RTX 3080 Ti,12 GB,1365 MHz,1770 MHz,White / Silver
Zotac GeForce GTX 1060 6GB 6 GB MINI,60500,GeForce GTX 1060 6GB,6 GB,1506 MHz,1708 MHz,Black / Gray
NVIDIA GeForce RTX 3060 Ti 8 GB Founders Edition,198000,GeForce RTX 3060 Ti,8 GB,1410 MHz,1670 MHz,Black / Silver
Gigabyte Radeon RX 6800 XT 16 GB AORUS MASTER,185900,Radeon RX 6800 XT,16 GB,1825 MHz,2310 MHz,Black
EVGA GeForce GTX 1080 Ti 11 GB SC2,182500,GeForce GTX 1080 Ti,11 GB,1556 MHz,1670 MHz,Silver
EVGA GeForce RTX 3090 24 GB FTW3 ULTRA GAMING,339000,GeForce RTX 3090,24 GB,1395 MHz,1800 MHz,Black
