Video Card,Video Card Price,gpu_chipset,gpu_memory,gpu_core_clock,gpu_boostclock,gpu_color
MSI Radeon RX 6800 XT 16 GB GAMING X TRIO,180000,Radeon RX 6800 XT,16 GB,1850 MHz,2285 MHz,Silver / Black
MSI Radeon RX 6900 XT 16 GB GAMING X TRIO,390000,Radeon RX 6900 XT,16 GB,1825 MHz,2340 MHz,Silver / Black
MSI Radeon RX 5600 XT 6 GB GAMING MX,66000,Radeon RX 5600 XT,6 GB,1280 MHz,1620 MHz,Black / Silver
MSI GeForce GTX 1660 Ti 6 GB VENTUS XS OC,112000,GeForce GTX 1660 Ti,6 GB,1500 MHz,1830 MHz,204 mm
EVGA GeForce GTX 1060 6GB 6 GB SSC GAMING,60000,GeForce GTX 1060 6GB,6 GB,1607 MHz,1835 MHz,Black
MSI GeForce RTX 3080 Ti 12 GB VENTUS 3X OC,262600,GeForce RTX 3080 Ti,12 GB,1365 MHz,1695 MHz,Black / Silver
XFX Radeon RX 5600 XT 6 GB THICC II Pro,64000,Radeon RX 5600 XT,6 GB,1247 MHz,1620 MHz,Black
Asus GeForce RTX 3070 8 GB STRIX OC,164000,GeForce RTX 3070,8 GB,1500 MHz,1935 MHz,White
Asus GeForce RTX 2060 6 GB STRIX GAMING OC,93000,GeForce RTX 2060,6 GB,1365 MHz,1860 MHz,Black
MSI Radeon RX 5700 XT 8 GB MECH OC,79850,Radeon RX 5700 XT,8 GB,1670 MHz,1925 MHz,Black
ASRock Radeon RX 590 8 GB Phantom Gaming X,115000,Radeon RX 590,8 GB,1469 MHz,1560 MHz,Black / Red
KFA2 GeForce RTX 2080 SUPER 8 GB EX,190000,GeForce RTX 2080 SUPER,8 GB,1650 MHz,1860 MHz,Black
Gigabyte GeForce GTX 1660 6 GB OC,80000,GeForce GTX 1660,6 GB,1530 MHz,1785 MHz,Black / Gray
MSI Radeon RX 580 4 GB ARMOR OC,38000,Radeon RX 580,4 GB,1257 MHz,1366 MHz,Black / White
Asus GeForce GTX 1650 G5 4 GB DUAL OC,56000,GeForce GTX 1650 G5,4 GB,1485 MHz,1755 MHz,Silver / Black
Asus GeForce GTX 1650 SUPER 4 GB Phoenix OC,70000,GeForce GTX 1650 SUPER,4 GB,1530 MHz,1770 MHz,Black / White
Sapphire Radeon R9 270X 2 GB Vapor-X,22500,Radeon R9 270X,2 GB,1050 MHz,1100 MHz,Black / Blue
Gigabyte GeForce RTX 2070 SUPER 8 GB GAMING OC,135000,GeForce RTX 2070 SUPER,8 GB,1605 MHz,1815 MHz,Black
XFX Radeon RX 580 4 GB GTS XXX,35900,Radeon RX 580,4 GB,1257 MHz,1386 MHz,270 mm
Gigabyte GeForce GTX 1060 6GB 6 GB GAMING,67000,GeForce GTX 1060 6GB,6 GB,1594 MHz,1847 MHz,Black / Orange
MSI GeForce RTX 3080 10 GB GAMING TRIO,226500,GeForce RTX 3080 10GB,10 GB,1440 MHz,Black,323 mm
Gigabyte GeForce RTX 3080 10 GB AORUS XTREME WATERFORCE,222000,GeForce RTX 3080 10GB,10 GB,1440 MHz,1845 MHz,Black / Silver
Asus GeForce RTX 3060 Ti 8 GB DUAL,180000,GeForce RTX 3060 Ti,8 GB,1410 MHz,1695 MHz,Black / Silver
MSI GeForce GTX 1060 3GB 3 GB ARMOR OCV1,38000,GeForce GTX 1060 3GB,3 GB,1544 MHz,1759 MHz,Black / White
EVGA GeForce RTX 2080 8 GB Black,168600,GeForce RTX 2080,8 GB,1515 MHz,1710 MHz,Clear / Black
EVGA GeForce GTX 1060 6GB 6 GB GAMING,60000,GeForce GTX 1060 6GB,6 GB,1506 MHz,1708 MHz,Black / Gray
Gigabyte Radeon RX 5700 XT 8 GB AORUS,77550,Radeon RX 5700 XT,8 GB,1770 MHz,2010 MHz,Black
MSI Radeon RX VEGA 64 8 GB AIR BOOST OC,90000,Radeon RX VEGA 64,8 GB,1272 MHz,1575 MHz,Black / Red
EVGA GeForce RTX 3090 24 GB FTW3 ULTRA HYBRID GAMING,342000,GeForce RTX 3090,24 GB,1395 MHz,1800 MHz,Black
MSI Radeon RX 570 8 GB ARMOR OC,81000,Radeon RX 570,8 GB,1168 MHz,1268 MHz,Black / White
PowerColor Radeon RX 580 8 GB Red Dragon,85000,Radeon RX 580,8 GB,1257 MHz,1350 MHz,Black / Red
Gigabyte GeForce RTX 2070 8 GB GAMING OC,115900,GeForce RTX 2070,8 GB,1620 MHz,1740 MHz,White / Black
EVGA GeForce GTX 770 2 GB ACX,22500,GeForce GTX 770,2 GB,1046 MHz,Black / Gold,267 mm
MSI GeForce RTX 3070 Ti 8 GB VENTUS 3X OC,182000,GeForce RTX 3070 Ti,8 GB,1575 MHz,1800 MHz,Black / Silver
NVIDIA GeForce RTX 2080 SUPER 8 GB Founders Edition,185000,GeForce RTX 2080 SUPER,8 GB,1650 MHz,1815 MHz,Silver
Gigabyte Radeon RX 6800 XT 16 GB GAMING OC,175900,Radeon RX 6800 XT,16 GB,1825 MHz,2285 MHz,Black / Silver
MSI GeForce RTX 2060 SUPER 8 GB VENTUS GP OC,98000,GeForce RTX 2060 SUPER,8 GB,1470 MHz,1665 MHz,Silver / Black
Asus GeForce GTX 1060 3GB 3 GB DUAL,39000,GeForce GTX 1060 3GB,3 GB,1594 MHz,1809 MHz,White
Zotac GeForce RTX 2080 Ti 11 GB Twin,252600,GeForce RTX 2080 Ti,11 GB,1350 MHz,1545 MHz,Black
Asus GeForce RTX 2080 SUPER 8 GB STRIX GAMING OC,185000,GeForce RTX 2080 SUPER,8 GB,1650 MHz,1890 MHz,White
Palit GeForce GTX 1080 8 GB Super JetStream,110200,GeForce GTX 1080,8 GB,1708 MHz,1847 MHz,Black / Gray
Asus GeForce GTX 1660 SUPER 6 GB STRIX GAMING Advanced,86500,GeForce GTX 1660 SUPER,6 GB,1530 MHz,1845 MHz,Black / Silver
EVGA GeForce GTX 1080 Ti 11 GB Founders Edition,180000,GeForce GTX 1080 Ti,11 GB,1480 MHz,1582 MHz,Black / Silver
MSI Radeon RX 560 - 1024 4 GB AERO ITX,32700,Radeon RX 560 - 1024,4 GB,1196 MHz,1275 MHz,Black / White
MSI GeForce GTX 1070 8 GB AERO,69000,GeForce GTX 1070,8 GB,1531 MHz,1721 MHz,Black / Silver
EVGA GeForce GTX 1070 8 GB Black,69000,GeForce GTX 1070,8 GB,1506 MHz,1683 MHz,Black / Silver
Sapphire Radeon RX 6900 XT 16 GB NITRO+,385000,Radeon RX 6900 XT,16 GB,1825 MHz,2285 MHz,Black / Silver
Palit GeForce RTX 3070 Ti 8 GB GamingPro,162000,GeForce RTX 3070 Ti,8 GB,1575 MHz,1770 MHz,Black / Silver
Asus GeForce RTX 2070 SUPER 8 GB DUAL EVO OC,144000,GeForce RTX 2070 SUPER,8 GB,1635 MHz,1845 MHz,Black
MSI GeForce GTX 1050 Ti 4 GB GAMING X,49000,GeForce GTX 1050 Ti,4 GB,1290 MHz,1493 MHz,Black / Red
Gigabyte GeForce RTX 2080 Ti 11 GB AORUS XTREME,256900,GeForce RTX 2080 Ti,11 GB,1350 MHz,1770 MHz,Black
Asus GeForce GTX 1070 Ti 8 GB Turbo,124200,GeForce GTX 1070 Ti,8 GB,1607 MHz,1721 MHz,267 mm
EVGA GeForce GTX 960 2 GB SSC ACX 2.0+,22500,GeForce GTX 960,2 GB,1279 MHz,1342 MHz,Black
KFA2 GeForce RTX 3080 10 GB SG,225000,GeForce RTX 3080 10GB,10 GB,1440 MHz,1725 MHz,Black
Asus Radeon RX 6700 XT 12 GB TUF GAMING OC,125000,Radeon RX 6700 XT,12 GB,2321 MHz,Black,322 mm
MSI GeForce GTX 1080 8 GB ARMOR,114900,GeForce GTX 1080,8 GB,1657 MHz,1797 MHz,Black / White
Asus GeForce RTX 2060 6 GB DUAL OC,93000,GeForce RTX 2060,6 GB,1365 MHz,1785 MHz,Black / Silver
Asus GeForce GTX 1050 Ti 4 GB CERBERUS,54000,GeForce GTX 1050 Ti,4 GB,1341 MHz,1480 MHz,Black / Red
Asus Radeon RX 570 8 GB STRIX GAMING OC,68000,Radeon RX 570,8 GB,1168 MHz,1310 MHz,Black
PowerColor Radeon RX 6700 XT 12 GB Hellhound Spectral,110500,Radeon RX 6700 XT,12 GB,2321 MHz,2581 MHz,White
MSI GeForce RTX 2070 8 GB VENTUS GP,125200,GeForce RTX 2070,8 GB,1410 MHz,1620 MHz,Silver / Black
Asus GeForce RTX 3090 24 GB ROG STRIX WHITE OC,345000,GeForce RTX 3090,24 GB,1395 MHz,1890 MHz,White / Black
EVGA GeForce RTX 2080 Ti 11 GB XC GAMING,253500,GeForce RTX 2080 Ti,11 GB,1350 MHz,1635 MHz,Black / Clear
Gigabyte GeForce RTX 3060 Ti  8 GB GAMING OC Rev 2,168000,GeForce RTX 3060 Ti LHR,8 GB,1410 MHz,1740 MHz,Black
EVGA GeForce GTX 1080 Ti 11 GB Gaming iCX,190500,GeForce GTX 1080 Ti,11 GB,1569 MHz,1683 MHz,Silver
MSI GeForce RTX 2080 SUPER 8 GB GAMING X TRIO,192000,GeForce RTX 2080 SUPER,8 GB,1650 MHz,1845 MHz,Silver / Black
MSI Radeon RX 570 4 GB ARMOR OC,35000,Radeon RX 570,4 GB,1168 MHz,1244 MHz,Black / White
GALAX GeForce RTX 3060 Ti 8 GB EX White (1-Click OC),162500,GeForce RTX 3060 Ti,8 GB,1410 MHz,1710 MHz,White / Gray
EVGA GeForce RTX 3080 Ti 12 GB XC3 ULTRA HYBRID GAMING,252800,GeForce RTX 3080 Ti,12 GB,1365 MHz,1725 MHz,Black
PNY GeForce RTX 3080 Ti 12 GB XLR8 Gaming UPRISING EPIC-X RGB,219800,GeForce RTX 3080 Ti,12 GB,1365 MHz,1665 MHz,Black / Silver
MSI GeForce RTX 3080  10 GB GAMING Z TRIO,232500,GeForce RTX 3080 10GB LHR,10 GB,1440 MHz,1830 MHz,Black
MSI Radeon RX 5700 XT 8 GB MECH,75000,Radeon RX 5700 XT,8 GB,1605 MHz,1905 MHz,Black
Asus GeForce RTX 2060 SUPER 8 GB DUAL EVO OC,99000,GeForce RTX 2060 SUPER,8 GB,1500 MHz,1725 MHz,Black
MSI GeForce RTX 2070 8 GB ARMOR,120000,GeForce RTX 2070,8 GB,1410 MHz,1740 MHz,Black / Silver
ASRock Radeon RX 570 8 GB Phantom Gaming X,125650,Radeon RX 570,8 GB,1228 MHz,1331 MHz,Black / Silver
MSI GeForce RTX 3060 12 GB VENTUS 2X OC,135000,GeForce RTX 3060,12 GB,1320 MHz,1807 MHz,Black
Asus GeForce RTX 2070 8 GB STRIX GAMING,117000,GeForce RTX 2070,8 GB,1410 MHz,1650 MHz,Black
Gigabyte GeForce GTX 1650 SUPER 4 GB OC,83600,GeForce GTX 1650 SUPER,4 GB,1530 MHz,1740 MHz,Black
MSI GeForce GTX 1060 3GB 3 GB GT OC,41500,GeForce GTX 1060 3GB,3 GB,1544 MHz,1759 MHz,Black / White
Gigabyte GeForce GTX 1080 8 GB MINI ITX,106000,GeForce GTX 1080,8 GB,1607 MHz,1771 MHz,169 mm
EVGA GeForce RTX 2070 SUPER 8 GB XC ULTRA GAMING,137000,GeForce RTX 2070 SUPER,8 GB,1605 MHz,1800 MHz,Transparent
EVGA GeForce GTX 980 Ti 6 GB Classified ACX 2.0+,58950,GeForce GTX 980 Ti,6 GB,1190 MHz,1291 MHz,Black / Silver
EVGA GeForce RTX 2060 SUPER 8 GB SC ULTRA GAMING,101000,GeForce RTX 2060 SUPER,8 GB,1470 MHz,1680 MHz,Black
Gigabyte GeForce RTX 2080 SUPER 8 GB WINDFORCE OC,192500,GeForce RTX 2080 SUPER,8 GB,1650 MHz,1830 MHz,Black
Zotac GeForce RTX 3090 24 GB GAMING Trinity,342000,GeForce RTX 3090,24 GB,1395 MHz,1695 MHz,Black
MSI GeForce GTX 1650 G5 4 GB GT LP,77000,GeForce GTX 1650 G5,4 GB,1485 MHz,1665 MHz,Black
Zotac GeForce RTX 3060 Ti 8 GB Twin Edge,165000,GeForce RTX 3060 Ti,8 GB,1410 MHz,1665 MHz,Black
MSI GeForce GTX 960 2 GB GAMING,25000,GeForce GTX 960,2 GB,1216 MHz,1279 MHz,Black / Red
PowerColor Radeon RX 5600 XT 6 GB Red Devil,62500,Radeon RX 5600 XT,6 GB,1247 MHz,1750 MHz,Black / Silver
Asus GeForce RTX 2060 6 GB STRIX GAMING,93000,GeForce RTX 2060,6 GB,1365 MHz,1680 MHz,Black
Asus GeForce GTX 980 4 GB STRIX,44000,GeForce GTX 980,4 GB,1178 MHz,1279 MHz,Black / Red
Gigabyte GeForce RTX 2080 SUPER 8 GB AORUS,199500,GeForce RTX 2080 SUPER,8 GB,1650 MHz,1860 MHz,Black
Asus GeForce RTX 2070 8 GB Turbo,122000,GeForce RTX 2070,8 GB,1410 MHz,1650 MHz,Black / Silver
Zotac GeForce RTX 3090 24 GB GAMING AMP Core Holo,342000,GeForce RTX 3090,24 GB,1395 MHz,1755 MHz,Black
MSI GeForce GTX 1080 8 GB ARMOR OC,125000,GeForce GTX 1080,8 GB,1657 MHz,1797 MHz,Black / White
Gigabyte GeForce GTX 1080 Ti 11 GB AORUS,188000,GeForce GTX 1080 Ti,11 GB,1594 MHz,1708 MHz,Black / Orange
Gigabyte GeForce RTX 2070 8 GB XTREME,125900,GeForce RTX 2070,8 GB,1620 MHz,1815 MHz,Black / Silver
Gigabyte GeForce RTX 2060 SUPER 8 GB WINDFORCE OC,106000,GeForce RTX 2060 SUPER,8 GB,1470 MHz,1680 MHz,Black
NVIDIA GeForce GTX 980 4 GB 9001G4012500000,36000,GeForce GTX 980,4 GB,1126 MHz,1216 MHz,Black / Silver
Gigabyte Radeon RX 560 - 1024 4 GB OC,28000,Radeon RX 560 - 1024,4 GB,1176 MHz,1199 MHz,Black / Orange
Asus Radeon RX VEGA 56 8 GB ROG STRIX,74000,Radeon RX VEGA 56,8 GB,1297 MHz,1573 MHz,298 mm
ASRock Radeon RX 6700 XT 12 GB Challenger D,107800,Radeon RX 6700 XT,12 GB,2321 MHz,2581 MHz,Black
MSI GeForce GTX 1070 Ti 8 GB AERO,118000,GeForce GTX 1070 Ti,8 GB,1607 MHz,1683 MHz,Black / White
EVGA GeForce GTX 1080 Ti 11 GB GAMING,189200,GeForce GTX 1080 Ti,11 GB,1480 MHz,1582 MHz,Black / Silver
MSI Radeon RX 6700 XT 12 GB MECH 2X OC,108650,Radeon RX 6700 XT,12 GB,2321 MHz,Black / Silver,247 mm
MSI GeForce GTX 980 Ti 6 GB GAMING,51500,GeForce GTX 980 Ti,6 GB,1178 MHz,1279 MHz,Black / Red
MSI GeForce GTX 1070 8 GB AERO ITX OC,69000,GeForce GTX 1070,8 GB,1531 MHz,1721 MHz,Black / White
MSI GeForce GTX 1080 Ti 11 GB GAMING X,188000,GeForce GTX 1080 Ti,11 GB,1569 MHz,1683 MHz,Black / Red
MSI GeForce GTX 1050 Ti 4 GB AERO ITX,46000,GeForce GTX 1050 Ti,4 GB,1341 MHz,1455 MHz,Black / White
Asus Radeon RX 6900 XT 16 GB TUF GAMING OC,190000,Radeon RX 6900 XT,16 GB,1825 MHz,2340 MHz,Black
Asus GeForce GTX 1070 8 GB Dual Series,67500,GeForce GTX 1070,8 GB,1582 MHz,1797 MHz,White
Gigabyte GeForce RTX 3080 10 GB EAGLE OC,230000,GeForce RTX 3080 10GB,10 GB,1440 MHz,1755 MHz,Black
Zotac GeForce RTX 3060 12 GB GAMING Twin Edge,118000,GeForce RTX 3060,12 GB,1320 MHz,1777 MHz,Black
PowerColor Radeon R7 260X 2 GB TurboDuo,18000,Radeon R7 260X,2 GB,1160 MHz,Black / Red,220 mm
Gigabyte GeForce RTX 3060 Ti 8 GB AORUS MASTER,168000,GeForce RTX 3060 Ti,8 GB,1410 MHz,1800 MHz,Black
Gigabyte GeForce RTX 2080 Ti 11 GB GAMING OC,252600,GeForce RTX 2080 Ti,11 GB,1350 MHz,286.5 mm,0
EVGA GeForce GTX 1070 8 GB ACX 3,69000,GeForce GTX 1070,8 GB,1506 MHz,1683 MHz,Black / Silver
EVGA GeForce RTX 2080 Ti 11 GB XC ULTRA GAMING,249500,GeForce RTX 2080 Ti,11 GB,1350 MHz,1650 MHz,Black / Clear
EVGA GeForce RTX 3080 Ti 12 GB XC3 GAMING,262500,GeForce RTX 3080 Ti,12 GB,1365 MHz,1665 MHz,Black
NVIDIA GeForce GTX 1080 8 GB Founders Edition,119000,GeForce GTX 1080,8 GB,1607 MHz,1733 MHz,Black / Silver
Gigabyte GeForce GTX 1070 8 GB GAMING,62500,GeForce GTX 1070,8 GB,1594 MHz,1822 MHz,Black / Orange
MSI Radeon RX 5600 XT 6 GB MECH OC,54800,Radeon RX 5600 XT,6 GB,1185 MHz,1600 MHz,Black / Silver
Zotac GeForce RTX 2060 6 GB GAMING,89000,GeForce RTX 2060,6 GB,1365 MHz,1680 MHz,Black
Zotac GeForce GTX 1650 G5 4 GB GAMING OC,59000,GeForce GTX 1650 G5,4 GB,1485 MHz,1695 MHz,Black / Silver
Asus Radeon RX 580 4 GB DUAL,70000,Radeon RX 580,4 GB,1257 MHz,1380 MHz,Black / White
MSI GeForce GTX 1650 G5 4 GB GT LP OC,80500,GeForce GTX 1650 G5,4 GB,1485 MHz,1695 MHz,Black
GALAX GeForce RTX 3070 Ti 8 GB SG (1-Click OC),175000,GeForce RTX 3070 Ti,8 GB,1575 MHz,1815 MHz,Black
Sapphire Radeon RX 570 4 GB PULSE UEFI,35000,Radeon RX 570,4 GB,1168 MHz,1284 MHz,Black
Gigabyte GeForce GTX 1070 Ti 8 GB AORUS,65000,GeForce GTX 1070 Ti,8 GB,1683 MHz,1771 MHz,Black / Orange
MSI GeForce RTX 2060 6 GB GAMING,90500,GeForce RTX 2060,6 GB,1365 MHz,1680 MHz,Silver / Black
XFX Radeon R9 390X 8 GB DD,59000,Radeon R9 390X,8 GB,1050 MHz,Black / Silver,295 mm
Gigabyte GeForce GTX 1660 Ti 6 GB WINDFORCE OC,106000,GeForce GTX 1660 Ti,6 GB,1500 MHz,1845 MHz,Black / Gray
EVGA GeForce RTX 2060 6 GB KO GAMING,91500,GeForce RTX 2060,6 GB,1365 MHz,1680 MHz,Gray / Black
GALAX GeForce RTX 2060 SUPER 8 GB EX,88000,GeForce RTX 2060 SUPER,8 GB,1470 MHz,1710 MHz,Black / Clear
Palit GeForce RTX 2080 Ti 11 GB Dual,160000,GeForce RTX 2080 Ti,11 GB,1350 MHz,1545 MHz,Black / Gold
Asus GeForce RTX 3080 10 GB STRIX GAMING,212000,GeForce RTX 3080 10GB,10 GB,1440 MHz,1740 MHz,Black
EVGA GeForce RTX 2080 8 GB FTW3 ULTRA HYBRID GAMING,165000,GeForce RTX 2080,8 GB,1515 MHz,1860 MHz,Black / Clear
Asus GeForce RTX 3070 Ti 8 GB ROG STRIX GAMING,172800,GeForce RTX 3070 Ti,8 GB,1575 MHz,Black / Silver,318.5 mm
XFX Radeon R9 280X 3 GB DD,30000,Radeon R9 280X,3 GB,1080 MHz,Black / Silver,294 mm
Gigabyte Radeon RX 550 - 512 2 GB GAMING,19000,Radeon RX 550 - 512,2 GB,1100 MHz,1219 MHz,Black / Orange
GALAX GeForce RTX 2070 8 GB EX,120000,GeForce RTX 2070,8 GB,1620 MHz,1665 MHz,Black / Clear
EVGA GeForce GTX 1070 8 GB Gaming iCX,69000,GeForce GTX 1070,8 GB,1506 MHz,1683 MHz,White / Black
EVGA GeForce GTX 1650 G6 4 GB SC ULTRA GAMING,60000,GeForce GTX 1650 G6,4 GB,1410 MHz,1710 MHz,Black
EVGA GeForce RTX 2080 SUPER 8 GB FTW3 ULTRA GAMING,174000,GeForce RTX 2080 SUPER,8 GB,1650 MHz,1845 MHz,Transparent / Black
NVIDIA GeForce RTX 2080 8 GB Founders Edition,179000,GeForce RTX 2080,8 GB,1515 MHz,1800 MHz,Black / Silver
Asus GeForce GTX 760 2 GB DirectCU II,25000,GeForce GTX 760,2 GB,1006 MHz,Black / Red,218 mm
Asus GeForce RTX 2080 8 GB STRIX GAMING OC,173000,GeForce RTX 2080,8 GB,1515 MHz,1890 MHz,297.7 mm
Zotac GeForce RTX 2060 6 GB GAMING AMP,88500,GeForce RTX 2060,6 GB,1365 MHz,1800 MHz,Silver / Black
Palit GeForce GTX 1660 SUPER 6 GB StormX,80500,GeForce GTX 1660 SUPER,6 GB,1530 MHz,1785 MHz,168 mm
EVGA GeForce GTX 1080 8 GB FTW DT GAMING,115000,GeForce GTX 1080,8 GB,1607 MHz,1733 MHz,Black / Gray
PowerColor Radeon RX 6700 XT 12 GB Hellhound,112500,Radeon RX 6700 XT,12 GB,2321 MHz,2581 MHz,Black
Asus GeForce GTX 1060 6GB 6 GB Turbo,62000,GeForce GTX 1060 6GB,6 GB,1506 MHz,1708 MHz,Black
EVGA GeForce GTX 1650 G5 4 GB XC BLACK GAMING,60000,GeForce GTX 1650 G5,4 GB,1485 MHz,1665 MHz,Black
Asus Radeon RX 580 8 GB DUAL,70000,Radeon RX 580,8 GB,1257 MHz,1380 MHz,Black / Silver
Sapphire Radeon RX 5500 XT 8 GB PULSE,88500,Radeon RX 5500 XT,8 GB,1607 MHz,1845 MHz,Black
Zotac GeForce GTX 1070 8 GB MINI,61000,GeForce GTX 1070,8 GB,1518 MHz,1708 MHz,Black / Silver
MSI GeForce GTX 560 Ti 448 1.25 GB TWIN FROZR III PE,15000,GeForce GTX 560 Ti 448,1.25 GB,Black / Silver,0,0
MSI GeForce RTX 2080 Ti 11 GB GAMING X TRIO,262000,GeForce RTX 2080 Ti,11 GB,1350 MHz,1755 MHz,Black
MSI GeForce RTX 2080 8 GB VENTUS,180000,GeForce RTX 2080,8 GB,1515 MHz,1710 MHz,Silver / Black
Gigabyte GeForce GTX 1660 6 GB GAMING OC,80000,GeForce GTX 1660,6 GB,1530 MHz,1860 MHz,Black / Gray
MSI GeForce GTX 1650 G6 4 GB D6 GAMING X,76500,GeForce GTX 1650 G6,4 GB,1410 MHz,1710 MHz,Black
ASRock Radeon RX 6700 XT 12 GB Phantom Gaming D OC,107800,Radeon RX 6700 XT,12 GB,2457 MHz,2622 MHz,Silver / Black
MSI GeForce GTX 1080 Ti 11 GB GAMING X TRIO,196000,GeForce GTX 1080 Ti,11 GB,1569 MHz,1683 MHz,325 mm
EVGA GeForce GTX 980 4 GB Superclocked,32000,GeForce GTX 980,4 GB,1241 MHz,1342 MHz,Black / Silver
MSI GeForce RTX 2070 8 GB AERO,118000,GeForce RTX 2070,8 GB,1410 MHz,1620 MHz,Black / Green
NVIDIA GeForce RTX 2080 Ti 11 GB Founders Edition,255300,GeForce RTX 2080 Ti,11 GB,1350 MHz,1635 MHz,267 mm
Asus GeForce RTX 2080 SUPER 8 GB STRIX GAMING Advanced,182000,GeForce RTX 2080 SUPER,8 GB,1650 MHz,1860 MHz,Black
Zotac GeForce GTX 1080 8 GB MINI,109000,GeForce GTX 1080,8 GB,1620 MHz,1759 MHz,Black
Asus GeForce RTX 2070 SUPER 8 GB STRIX GAMING,144000,GeForce RTX 2070 SUPER,8 GB,1635 MHz,1800 MHz,Black
Asus Radeon RX 5500 XT 8 GB DUAL EVO OC,82600,Radeon RX 5500 XT,8 GB,1607 MHz,1865 MHz,Black
Sapphire Radeon R9 390 8 GB NITRO,63000,Radeon R9 390,8 GB,1040 MHz,Black / Silver,308 mm
EVGA GeForce RTX 2070 SUPER 8 GB XC GAMING,142500,GeForce RTX 2070 SUPER,8 GB,1605 MHz,1800 MHz,Transparent
Gigabyte GeForce RTX 2070 SUPER 8 GB AORUS,140500,GeForce RTX 2070 SUPER,8 GB,1605 MHz,1905 MHz,Black
EVGA GeForce GTX 1070 Ti 8 GB FTW ULTRA SILENT GAMING,115000,GeForce GTX 1070 Ti,8 GB,1607 MHz,1683 MHz,Black / Silver
Gigabyte Radeon RX 5600 XT 6 GB GAMING OC,60000,Radeon RX 5600 XT,6 GB,1247 MHz,1620 MHz,Black / Silver
XFX Radeon RX 5700 XT 8 GB THICC III Ultra,73500,Radeon RX 5700 XT,8 GB,1810 MHz,2025 MHz,Black / White
MSI GeForce GTX 760 2 GB TWIN FROZR,25000,GeForce GTX 760,2 GB,1085 MHz,Black / Red,260 mm
EVGA GeForce GTX 980 Ti 6 GB Superclocked ACX 2.0+,50400,GeForce GTX 980 Ti,6 GB,1102 MHz,1190 MHz,Black / Silver
EVGA GeForce GTX 1080 Ti 11 GB Black Edition,180000,GeForce GTX 1080 Ti,11 GB,1480 MHz,1582 MHz,Black
EVGA GeForce GTX 1080 8 GB FTW3 HYBRID GAMING,117000,GeForce GTX 1080,8 GB,1721 MHz,1860 MHz,Black / Silver
Asus GeForce RTX 2070 SUPER 8 GB DUAL EVO Advanced,144000,GeForce RTX 2070 SUPER,8 GB,1635 MHz,1815 MHz,Black
EVGA GeForce GTX 1080 8 GB ACX 3,113000,GeForce GTX 1080,8 GB,1607 MHz,1733 MHz,Black / Silver
Palit GeForce RTX 2060 SUPER 8 GB JetStream,82000,GeForce RTX 2060 SUPER,8 GB,1470 MHz,1830 MHz,Silver / Black
Asus Radeon R9 280X 3 GB DirectCU II,25000,Radeon R9 280X,3 GB,1070 MHz,Black / Red,284 mm
XFX Radeon R9 270X 2 GB DD,21000,Radeon R9 270X,2 GB,1100 MHz,Black / Silver,261 mm
Gigabyte GeForce RTX 3060 Ti 8 GB EAGLE,168000,GeForce RTX 3060 Ti,8 GB,1410 MHz,1665 MHz,Black
EVGA GeForce RTX 3080 10 GB XC3 BLACK GAMING,212000,GeForce RTX 3080 10GB LHR,10 GB,1440 MHz,1710 MHz,Black
MSI GeForce GTX 1080 8 GB DUKE OC,125000,GeForce GTX 1080,8 GB,1708 MHz,1847 MHz,Black / Beige
EVGA GeForce RTX 3080 10 GB FTW3 GAMING,212000,GeForce RTX 3080 10GB,10 GB,1440 MHz,1755 MHz,Black / Red
Asus Radeon RX 5700 XT 8 GB TUF Gaming X3 EVO OC,72000,Radeon RX 5700 XT,8 GB,1605 MHz,1980 MHz,Black
Inno3D GeForce GTX 1650 SUPER 4 GB Twin X2 OC,80500,GeForce GTX 1650 SUPER,4 GB,1530 MHz,1755 MHz,Black
EVGA GeForce RTX 3090 24 GB XC3 ULTRA HYBRID GAMING,342000,GeForce RTX 3090,24 GB,1395 MHz,1725 MHz,Black
Zotac GeForce RTX 2070 8 GB GAMING AMP,122300,GeForce RTX 2070,8 GB,1410 MHz,1740 MHz,Black
MSI GeForce GTX 1650 SUPER 4 GB VENTUS XS OC,82000,GeForce GTX 1650 SUPER,4 GB,1530 MHz,1740 MHz,Black / Silver
Gigabyte GeForce GTX 980 Ti 6 GB XTREME,52000,GeForce GTX 980 Ti,6 GB,1000 MHz,1075 MHz,Black / Silver
Asus GeForce GTX 1080 8 GB STRIX,115000,GeForce GTX 1080,8 GB,1759 MHz,1936 MHz,Black
EVGA GeForce GTX 960 4 GB Superclocked,30500,GeForce GTX 960,4 GB,1216 MHz,1279 MHz,Black / Silver
Zotac GeForce GTX 1080 Ti 11 GB AMP Extreme Core,180000,GeForce GTX 1080 Ti,11 GB,1607 MHz,1721 MHz,Black / Silver
Gigabyte Radeon RX 570 4 GB AORUS,32000,Radeon RX 570,4 GB,1168 MHz,1295 MHz,Black / Orange
Zotac GeForce GTX 1660 SUPER 6 GB GAMING AMP,85000,GeForce GTX 1660 SUPER,6 GB,1530 MHz,1845 MHz,Black
Gigabyte GeForce RTX 2070 8 GB WINDFORCE 2X,125600,GeForce RTX 2070,8 GB,1410 MHz,1620 MHz,Black
MSI GeForce GTX 950 2 GB GAMING,25500,GeForce GTX 950,2 GB,1127 MHz,1317 MHz,Black / Red
