CPU,CPU Price,cpu_cores,cpu_base_clock,cpu_max_boost_clock,cpu_default_TDP,cpu_graphics_model,Inventory
Intel Corei7-8086K 4 GHz 6-Core,72000,6,4.0 GHz,5.0 GHz,95 W,Intel UHD Graphics 630,1
Intel Corei5-6600 3.3 GHz 4-Core,20700,4,3.3 GHz,3.7 GHz,65 W,Intel UHD Graphics 530,1
AMD Ryzen 3 3100 3.6 GHz 4-Core,29700,4,3.6GHz,3.9GHz,65W,Discrete Graphics Card Required,1
Intel Corei3-10105 3.7 GHz 4-Core,27500,4,3.7 GHz,4.4 GHz,65 W,Intel UHD Graphics 630,1
Intel Corei7-9700 3 GHz 8-Core,47000,8,3 GHz,4.7 GHz,65 W,Intel HD Graphics 630,1
Intel Corei7-5775C 3.3 GHz 4-Core,54000,4,3.3 GHz,3.7 GHz,37 W,Intel Iris Pro Graphics 6200,1
Intel Corei5-4570S 2.9 GHz 4-Core,9300,4,2.9 GHz,3.6 GHz,65 W,Intel HD Graphics 4600,1
Intel Corei7-5820K 3.3 GHz 6-Core,40850,6,3.3 GHz,3.6 GHz,140 W,Discrete Graphics Card Required,1
Intel Corei7-8700T 2.4 GHz 6-Core,66600,6,2.4 GHz,4.0 GHz,25 W,Intel HD Graphics 630,1
Intel Corei7-7800X 3.5 GHz 6-Core,47000,6,3.5 GHz,4.0 GHz,140 W,Discrete Graphics Card Required,1
AMD Ryzen Threadripper 2950X 3.5 GHz 16-Core,117000,16,3.5GHz,4.4GHz,180W,Discrete Graphics Card Required,1
Intel Corei9-10850KA 3.6 GHz 10-Core,72000,10,3.6 GHz,5.2 GHz,125 W,Intel UHD Graphics 630,1
AMD FX-6350 3.9 GHz 6-Core,17100,6,3.9GHz,4.2GHz,125W,Discrete Graphics Card Required,1
AMD FX-8120 3.1 GHz 8-Core,17100,8,3.1GHz,4.0GHz,125W,Discrete Graphics Card Required,1
Intel Corei5-7400 3 GHz 4-Core,32400,4,3 GHz,3.5 GHz,65 W,Intel HD Graphics 630,1
Intel Corei5-9600KF 3.7 GHz 6-Core,35000,6,3.7 GHz,4.6 GHz,95 W,Discrete Graphics Card Required,1
Intel Corei3-10305 3.8 GHz 4-Core,29150,4,3.8 GHz,4.5 GHz,65 W,Intel UHD Graphics 630,1
Intel Xeon E5-2660 V3 2.6 GHz 10-Core,23000,10,2.6 GHz,3.3 GHz,105 W,Discrete Graphics Card Required,0
AMD A10-9700 3.5 GHz 4-Core,22700,4,3.5GHz,3.8GHz,65W,Radeon R7 Series,0
Intel Xeon E5-1650 V2 3.5 GHz 6-Core,30000,6,3.5 GHz,3.9 GHz,130 W,Discrete Graphics Card Required,0
Intel Corei9-7900X 3.3 GHz 10-Core,107650,10,3.3 GHz,4.3 GHz,140 W,Discrete Graphics Card Required,0
Intel Corei9-9960X 3.1 GHz 16-Core,324000,16,3.1 GHz,4.4 GHz,165 W,Discrete Graphics Card Required,0
Intel Corei7-4790 3.6 GHz 4-Core,51000,4,3.6 GHz,4.0 GHz,84 W,Intel HD Graphics 4600,0
Intel Corei5-9400 2.9 GHz 6-Core,33500,6,2.9 GHz,4.1 GHz,65 W,Intel UHD Graphics 630,0
AMD Ryzen Threadripper 2970WX 3 GHz 24-Core,252000,24,3.0GHz,4.2GHz,250W,Discrete Graphics Card Required,0
Intel Corei9-9900X 3.5 GHz 10-Core,139500,10,3.5 GHz,4.4 GHz,165 W,Discrete Graphics Card Required,0
Intel Corei9-10940X 3.3 GHz 14-Core,95000,14,3.3 GHz,4.6 GHz,165 W,Discrete Graphics Card Required,0
Intel Corei7-11700F 2.5 GHz 8-Core,67000,8,2.5 GHz,4.9 GHz,65 W,Discrete Graphics Card Required,0
Intel Corei5-4590 3.3 GHz 4-Core,9500,4,3.3 GHz,3.7 GHz,84 W,Intel HD Graphics 4600,0
Intel Corei5-7600 3.5 GHz 4-Core,24000,4,3.5 GHz,4.1 GHz,65 W,Intel UHD Graphics 630,0
Intel Corei7-2600 3.4 GHz 4-Core,17500,4,3.4 GHz,3.8 GHz,95 W,Intel HD Graphics 2000,0
AMD Ryzen 5 1500X 3.5 GHz 4-Core,32400,4,3.5GHz,3.7GHz,65W,Discrete Graphics Card Required,0
Intel Corei5-750 2.66 GHz 4-Core,5000,4,2.66 GHz,3.2 GHz,95 W,Discrete Graphics Card Required,0
Intel Corei5-4690K 3.5 GHz 4-Core,16900,4,3.5 GHz,3.9 GHz,88 W,Intel HD Graphics 4600,0
AMD Phenom II X6 1100T Black 3.3 GHz 6-Core,30050,6,3.3 GHz,3.7 GHz,125 W,Discrete Graphics Card Required,0
Intel Corei5-3570 3.4 GHz 4-Core,8200,4,3.4 GHz,3.8 GHz,77 W,Intel HD Graphics 2500,0
Intel Xeon E3-1265L V3 2.5 GHz 4-Core,24000,4,2.5 GHz,3.7 GHz,45 W,Discrete Graphics Card Required,0
AMD FX-4100 3.6 GHz 4-Core,9000,4,3.6GHz,3.8GHz,95W,Discrete Graphics Card Required,0
Intel Corei7-6850K 3.6 GHz 6-Core,51450,6,3.6 GHz,3.8 GHz,140 W,Discrete Graphics Card Required,0
AMD Ryzen 3 1300X 3.5 GHz 4-Core,72000,4,3.5GHz,3.7GHz,65W,Discrete Graphics Card Required,0
Intel Corei5-2320 3 GHz 4-Core,4500,4,3.0 GHz,3.3 GHz,95 W,Intel HD Graphics 2000,0
Intel Corei3-10300 3.7 GHz 4-Core,27350,4,3.7 GHz,4.4 GHz,65 W,Intel UHD Graphics 630,0
Intel Corei5-8500T 2.1 GHz 6-Core,39000,6,2.1 GHz,3.5 GHz,65 W,Intel UHD Graphics 630,0
Intel Corei7-9800X 3.8 GHz 8-Core,117000,8,3.8 GHz,4.5 GHz,165 W,Discrete Graphics Card Required,0
Intel Corei7-875K 2.93 GHz 4-Core,9200,4,2.93 GHz,3.6 GHz,95 W,Discrete Graphics Card Required,0
AMD Ryzen Threadripper 2990WX 3 GHz 32-Core,483300,32,3.0GHz,4.2GHz,250W,Discrete Graphics Card Required,0
Intel Corei7-5930K 3.5 GHz 6-Core,43000,6,3.5 GHz,3.7 GHz,140 W,Discrete Graphics Card Required,0
Intel Corei5-760 2.8 GHz 4-Core,5700,4,2.8 GHz,3.33 GHz,95 W,Discrete Graphics Card Required,0
AMD Phenom II X6 1055T 2.8 GHz 6-Core,17800,6,2.8 GHz,3.3 GHz,125 W,Discrete Graphics Card Required,0
