Memory,Memory Price,ram_speed,ram_modules,ram_color,Inventoiry
Corsair Vengeance LPX 16 GB (2 x 8 GB) DDR4-2666 CL16,13500,DDR4-2666,2 x 8 GB,Black / Yellow,0
Corsair Dominator Platinum RGB 32 GB (2 x 16 GB) DDR4-3466 CL16,35000,DDR4-3466,2 x 16 GB,Black,0
ADATA XPG GAMMIX D10 16 GB (2 x 8 GB) DDR4-3000 CL16,14000,DDR4-3000,2 x 8 GB,Black,0
Crucial Ballistix 64 GB (2 x 32 GB) DDR4-3600 CL16,54000,DDR4-3600,2 x 32 GB,Black,0
G.Skill Ripjaws V Series 8 GB (2 x 4 GB) DDR4-2400 CL15,9700,DDR4-2400,2 x 4 GB,Black / Red,0
Team T-Force XTREEM ARGB 32 GB (2 x 16 GB) DDR4-3200 CL16,30000,DDR4-3200,2 x 16 GB,White,0
Corsair Vengeance RGB RT 32 GB (2 x 16 GB) DDR4-3200 CL16,28000,DDR4-3200,2 x 16 GB,White / Black,0
G.Skill Trident Z Neo 32 GB (2 x 16 GB) DDR4-3600 CL18,34000,DDR4-3600,2 x 16 GB,Black / Silver,0
G.Skill Ripjaws V Series 32 GB (2 x 16 GB) DDR4-3200 CL16,27500,DDR4-3200,2 x 16 GB,Black,0
Team T-FORCE VULCAN Z 16 GB (2 x 8 GB) DDR4-3000 CL16,18000,DDR4-3000,2 x 8 GB,Silver / Black,0
G.Skill Ripjaws V Series 16 GB (2 x 8 GB) DDR4-3600 CL16,20500,DDR4-3600,2 x 8 GB,Black,0
Crucial Ballistix 16 GB (2 x 8 GB) DDR4-3000 CL15,19000,DDR4-3000,2 x 8 GB,White,0
G.Skill Trident Z 32 GB (2 x 16 GB) DDR4-3200 CL16,39500,DDR4-3200,2 x 16 GB,Black / White,0
G.Skill Trident Z RGB 64 GB (2 x 32 GB) DDR4-4000 CL18,72000,DDR4-4000,2 x 32 GB,Black,0
Corsair Vengeance RGB Pro SL 32 GB (4 x 8 GB) DDR4-3600 CL18,29000,DDR4-3600,4 x 8 GB,Black,0
Team T-FORCE XCALIBUR RGB SE 16 GB (2 x 8 GB) DDR4-3600 CL18,15200,DDR4-3600,2 x 8 GB,Black,0
Corsair Vengeance LPX 16 GB (2 x 8 GB) DDR4-3600 CL16,18500,DDR4-3600,2 x 8 GB,Black / Yellow,0
G.Skill Aegis 4 GB (1 x 4 GB) DDR4-2400 CL15,4700,DDR4-2400,1 x 4 GB,Black / Red,0
Corsair Vengeance RGB 16 GB (2 x 8 GB) DDR4-2666 CL16,15500,DDR4-2666,2 x 8 GB,Black,0
ADATA XPG GAMMIX D20 16 GB (2 x 8 GB) DDR4-3200 CL16,18500,DDR4-3200,2 x 8 GB,Black,0
Corsair Vengeance RGB Pro 16 GB (2 x 8 GB) DDR4-4000 CL19,21500,DDR4-4000,2 x 8 GB,Black,0
Team T-Force Night Hawk RGB 16 GB (2 x 8 GB) DDR4-4000 CL18,16500,DDR4-4000,2 x 8 GB,Black,0
Team T-Force Vulcan 16 GB (2 x 8 GB) DDR4-3200 CL16,16500,DDR4-3200,2 x 8 GB,Black,0
Team T-FORCE DARK Za 16 GB (2 x 8 GB) DDR4-3200 CL16,13000,DDR4-3200,2 x 8 GB,Black / Silver,0
Corsair Dominator Platinum 32 GB (2 x 16 GB) DDR4-3200 CL16,35000,DDR4-3200,2 x 16 GB,Black / Silver,0
Corsair Vengeance LPX 32 GB (2 x 16 GB) DDR4-3200 CL16,27500,DDR4-3200,2 x 16 GB,Black / Yellow,0
Corsair Vengeance RGB Pro 32 GB (4 x 8 GB) DDR4-3600 CL18,38500,DDR4-3600,4 x 8 GB,Black,0
G.Skill Ripjaws V Series 64 GB (4 x 16 GB) DDR4-3200 CL16,4700,DDR4-3200,4 x 16 GB,Black,0
Team T-FORCE VULCAN TUF Gaming Allian 16 GB (2 x 8 GB) DDR4-3600 CL19,19000,DDR4-3600,2 x 8 GB,Black / Gold,0
Corsair Vengeance LPX 32 GB (2 x 16 GB) DDR4-3600 CL16,28500,DDR4-3600,2 x 16 GB,Black / Yellow,0
G.Skill Trident Z RGB 16 GB (2 x 8 GB) DDR4-3600 CL16,27000,DDR4-3600,2 x 8 GB,Black,0
Kingston HyperX Fury Blue 8 GB (1 x 8 GB) DDR3-1600 CL10,8800,DDR3-1600,1 x 8 GB,Blue / Silver,0
Corsair Vengeance RGB Pro 16 GB (2 x 8 GB) DDR4-3000 CL16,15000,DDR4-3000,2 x 8 GB,Black,0
Team T-FORCE DELTA TUF Gaming 32 GB (2 x 16 GB) DDR4-3200 CL16,13500,DDR4-3200,2 x 16 GB,Black / Gold,0
OLOy WarHawk RGB 32 GB (2 x 16 GB) DDR4-3200 CL16,33500,DDR4-3200,2 x 16 GB,Black,0
Corsair Vengeance LPX 128 GB (4 x 32 GB) DDR4-2400 CL16,110000,DDR4-2400,4 x 32 GB,Black / Yellow,0
Kingston HyperX Fury RGB 32 GB (2 x 16 GB) DDR4-3200 CL16,28500,DDR4-3200,2 x 16 GB,Black,0
Kingston D1G64KL110 8 GB (1 x 8 GB) DDR3-1600 CL11,9100,DDR3-1600,1 x 8 GB,Black,0
G.Skill Trident Z RGB 32 GB (2 x 16 GB) DDR4-3200 CL14,43000,DDR4-3200,2 x 16 GB,Black,0
ADATA XPG SPECTRIX D60G 16 GB (2 x 8 GB) DDR4-3200 CL16,25000,DDR4-3200,2 x 8 GB,Silver / Black,0
Corsair Vengeance LPX 8 GB (2 x 4 GB) DDR4-2666 CL16,12000,DDR4-2666,2 x 4 GB,Black / Yellow,0
G.Skill Trident Z Neo 64 GB (4 x 16 GB) DDR4-3600 CL14,71000,DDR4-3600,4 x 16 GB,Black / Silver,0
Corsair Vengeance RGB Pro SL 32 GB (4 x 8 GB) DDR4-3200 CL16,29000,DDR4-3200,4 x 8 GB,White / Black,0
G.Skill Ripjaws V 32 GB (4 x 8 GB) DDR4-4000 CL15,39000,DDR4-4000,4 x 8 GB,Black,0
Patriot Viper Steel 8 GB (2 x 4 GB) DDR4-3200 CL16,9000,DDR4-3200,2 x 4 GB,Silver / Black,0
Kingston HyperX Fury 16 GB (2 x 8 GB) DDR4-3200 CL16,16500,DDR4-3200,2 x 8 GB,Black,0
Corsair Vengeance LPX 64 GB (2 x 32 GB) DDR4-3200 CL16,48000,DDR4-3200,2 x 32 GB,Black / Yellow,0
G.Skill Trident Z RGB 16 GB (2 x 8 GB) DDR4-3000 CL16,22500,DDR4-3000,2 x 8 GB,Black,0
Kingston HyperX Fury RGB 16 GB (2 x 8 GB) DDR4-3600 CL17,18500,DDR4-3600,2 x 8 GB,Black,0
Patriot Viper 4 Blackout 16 GB (2 x 8 GB) DDR4-3200 CL16,14500,DDR4-3200,2 x 8 GB,Black,0
Crucial Ballistix 32 GB (2 x 16 GB) DDR4-3600 CL16,26500,DDR4-3600,2 x 16 GB,Black,0
G.Skill Trident Z RGB 32 GB (2 x 16 GB) DDR4-3600 CL17,44000,DDR4-3600,2 x 16 GB,Black,0
Corsair Vengeance Pro 8 GB (2 x 4 GB) DDR3-2400 CL11,15000,DDR3-2400,2 x 4 GB,Black,0
Corsair Vengeance RGB Pro 16 GB (2 x 8 GB) DDR4-2933 CL16,12500,DDR4-2933,2 x 8 GB,Black,0
Corsair Dominator Platinum RGB 32 GB (2 x 16 GB) DDR5-4800 CL34,62000,DDR5-4800,2 x 16 GB,Black,0
G.Skill Flare X Series 16 GB (2 x 8 GB) DDR4-3200 CL14,28000,DDR4-3200,2 x 8 GB,Black,0
G.Skill Ripjaws V 64 GB (2 x 32 GB) DDR4-3600 CL18,61000,DDR4-3600,2 x 32 GB,Black,0
Kingston Predator 16 GB (2 x 8 GB) DDR4-3600 CL17,16000,DDR4-3600,2 x 8 GB,Black,0
Gigabyte AORUS RGB 16 GB (2 x 8 GB) DDR4-4400 CL20,24500,DDR4-4400,2 x 8 GB,Black,0
