Power Supply,Power Supply Price,psu_efficiency_rating,psu_wattage,Inventory
SeaSonic FOCUS Plus Platinum 750 W 80+ Platinum Certified  Modular ATX,37000,80+ Platinum,750 W,1
EVGA P2 1200 W 80+ Platinum Certified  Modular ATX,76500,80+ Platinum,1200 W,1
SeaSonic FOCUS 750 W 80+ Platinum Certified  Modular ATX,42000,80+ Platinum,750 W,1
EVGA G2 1000 W 80+ Gold Certified  Modular ATX,34000,80+ Gold,1000 W,1
Corsair CV 650 W 80+ Bronze Certified  Modular ATX,19000,80+ Bronze,650 W,1
Corsair HXi 850 W 80+ Platinum Certified  Modular ATX,38000,80+ Platinum,850 W,1
Asus ROG Strix 750 W 80+ Gold Certified  Modular ATX,30500,80+ Gold,750 W,1
Cooler Master MWE Bronze V2 500 W 80+ Bronze Certified  Modular ATX,15300,80+ Bronze,500 W,1
Segotep CP-PSU-ST-P750F 750 W 80+ Gold Certified  Modular ATX,24500,80+ Gold,750 W,1
Corsair CXM 650 W 80+ Bronze Certified  Modular ATX,21000,80+ Bronze,650 W,1
Corsair CXM 600 W 80+ Bronze Certified  Modular ATX,18000,80+ Bronze,600 W,1
Corsair TX 750 W 80+ Bronze Certified  Modular ATX,18500,80+ Bronze,750 W,1
EVGA SuperNOVA GA 750 W 80+ Gold Certified  Modular ATX,25000,80+ Gold,750 W,1
GameMax RGB Rainbow 850 W 80+ Gold Certified  Modular ATX,27000,80+ Gold,850 W,1
Corsair RMx (2021) 750 W 80+ Gold Certified  Modular ATX,22500,80+ Gold,750 W,1
EVGA P2 1600 W 80+ Platinum Certified  Modular ATX,84000,80+ Platinum,1600 W,1
XFX TS 550 W 80+ Bronze Certified  Modular ATX,17000,80+ Bronze,550 W,1
EVGA SuperNOVA G6 1000 W 80+ Gold Certified  Modular ATX,37000,80+ Gold,1000 W,1
SeaSonic PRIME PX 850 W 80+ Platinum Certified  Modular ATX,43000,80+ Platinum,850 W,1
MSI MPG A-GF 850 W 80+ Gold Certified  Modular ATX,27500,80+ Gold,850 W,1
EVGA GQ 1000 W 80+ Gold Certified  Modular ATX,30000,80+ Gold,1000 W,1
EVGA GD (2019) 500 W 80+ Gold Certified  Modular ATX,13000,80+ Gold,500 W,1
EVGA BQ 650 W 80+ Bronze Certified  Modular ATX,18900,80+ Bronze,650 W,1
SeaSonic PRIME TX 1000 W 80+ Titanium Certified  Modular ATX,54500,80+ Titanium,1000 W,1
Corsair CX 600 W 80+ Bronze Certified  Modular ATX,16500,80+ Bronze,600 W,1
Phanteks AMP 650 W 80+ Gold Certified  Modular ATX,19000,80+ Gold,650 W,1
Thermaltake Toughpower GF1 ARGB 850 W 80+ Gold Certified  Modular ATX,21500,80+ Gold,850 W,1
