Power Supply,Power Supply Price,psu_efficiency_rating,psu_wattage,Inventory
Silverstone Strider Titanium 1100 W 80+ Titanium Certified  Modular ATX,61000,80+ Titanium,1100 W,1
Corsair VS 550 W 80+ Certified  Modular ATX,14500,80+,550 W,1
SeaSonic M12II 850 W 80+ Bronze Certified  Modular ATX,21500,80+ Bronze,850 W,1
Rosewill ARC M550 550 W 80+ Bronze Certified  Modular ATX,13500,80+ Bronze,550 W,1
Antec High Current Gamer 620 W  Certified No Modular ATX,24000,0,620 W,1
Cooler Master GX 650 W 80+ Certified  Modular ATX,15500,80+,650 W,1
be quiet! System Power 9 CM 500 W 80+ Bronze Certified  Modular ATX,14000,80+ Bronze,500 W,1
be quiet! Straight Power 11 550 W 80+ Gold Certified  Modular ATX,14000,80+ Gold,550 W,1
Raidmax Vampire 800 W 80+ Gold Certified  Modular ATX,16700,80+ Gold,800 W,1
EVGA B3 750 W 80+ Bronze Certified  Modular ATX,33000,80+ Bronze,750 W,1
Cooler Master MWE White V2 230V 450 W 80+ Certified  Modular ATX,9000,80+,450 W,1
