Motherboard,Motherboard Price,mobo_socket_cpu,mobo_form_factor,mobo_memory_max,mobo_memory_slots,mobo_color,Inventory
Gigabyte B550 GAMING X ATX AM4,29050,AM4,ATX,128 GB,4,Black / Silver
Gigabyte Z690 AERO G DDR4 ATX LGA1700,42150,LGA1700,ATX,128 GB,4,Black / Silver
MSI X58 Pro-E ATX LGA1366,19500,LGA1366,ATX,24 GB,6,Black / Blue
NZXT N7 Z490 ATX LGA1200,57400,LGA1200,ATX,128 GB,4,White / Black
Gigabyte A520I AC Mini ITX AM4,18950,AM4,Mini ITX,64 GB,2,Black
MSI B350 PC MATE ATX AM4,32400,AM4,ATX,64 GB,4,Black
Gigabyte B560M AORUS PRO Micro ATX LGA1200,21800,LGA1200,Micro ATX,128 GB,4,Black
ASRock Z590 Steel Legend WiFi 6E ATX LGA1200,56850,LGA1200,ATX,128 GB,4,Silver / Black
Asus ROG Crosshair VIII Extreme EATX AM4,87200,AM4,EATX,128 GB,4,Black
NZXT N7 Z590 ATX LGA1200,44100,LGA1200,ATX,128 GB,4,White
Gigabyte B550M DS3H Micro ATX AM4,40550,AM4,Micro ATX,128 GB,4,Black / Gold
Asus TUF GAMING Z590-PLUS ATX LGA1200,46400,LGA1200,ATX,128 GB,4,Silver / Black
Asus Prime B450M-A II Micro ATX AM4,29800,AM4,Micro ATX,128 GB,4,0
ASRock B550M-ITX/ac Mini ITX AM4,41600,AM4,Mini ITX,64 GB,2,Silver / Black
MSI B350 TOMAHAWK ATX AM4,36800,AM4,ATX,64 GB,4,Black / Red
NZXT N7 Z390 ATX LGA1151,45700,LGA1151,ATX,64 GB,4,White / Black
MSI MEG Z490I UNIFY Mini ITX LGA1200,55050,LGA1200,Mini ITX,64 GB,2,Black / Silver
Gigabyte GA-Z170-HD3P ATX LGA1151,33600,LGA1151,ATX,64 GB,4,Black
ASRock Z590 Pro4 ATX LGA1200,42700,LGA1200,ATX,128 GB,4,Silver / Black
Asus A88X-GAMER ATX FM2+,28850,FM2+,ATX,64 GB,4,Black / Red
Gigabyte Z690 AORUS MASTER EATX LGA1700,51200,LGA1700,EATX,128 GB,4,Black
ASRock Z390 Pro4 ATX LGA1151,59950,LGA1151,ATX,128 GB,4,Black / Silver
Gigabyte B560M DS3H Micro ATX LGA1200,20350,LGA1200,Micro ATX,128 GB,4,Black
Asus ROG STRIX Z590-I GAMING WIFI Mini ITX LGA1200,55700,LGA1200,Mini ITX,64 GB,2,Black
Gigabyte B560M AORUS PRO AX Micro ATX LGA1200,24350,LGA1200,Micro ATX,128 GB,4,Black / Silver
