Storage,Storage Price,storage_capacity,storage_type,storage_form_factor,Inventory
Inland Platinum 1 TB,27500,1 TB,SSD,M.2-2280,1
Corsair MP600 Force Series Gen4 2 TB,46500,2 TB,SSD,M.2-2280,1
Patriot VPN100 256 GB,9200,256 GB,SSD,M.2-2280,1
Western Digital Red Pro 6 TB,47000,6 TB,7200RPM,"3.5""",1
Western Digital Caviar Blue 250 GB,3400,250 GB,7200RPM,"3.5""",1
Samsung 860 QVO 2 TB,48000,2 TB,SSD,"2.5""",1
Corsair MP600 Pro 2 TB,45000,2 TB,SSD,M.2-2280,1
SanDisk Ultra 1 TB,24700,1 TB,SSD,M.2-2280,1
Inland Performance 2 TB,48000,2 TB,SSD,M.2-2280,1
Hitachi Ultrastar He10 10 TB,80000,10 TB,7200RPM,"3.5""",1
Sabrent Rocket Q 1 TB,26500,1 TB,SSD,M.2-2280,1
Samsung 850 EVO-Series 1 TB,26500,1 TB,SSD,"2.5""",1
Western Digital RE 6 TB,44000,6 TB,7200RPM,"3.5""",1
Seagate Surveillance HDD 2 TB,20000,2 TB,5900RPM,"3.5""",1
ADATA XPG SX8200 Pro 512 GB,15000,512 GB,SSD,M.2-2280,1
Intel 660p 1 TB,27500,1 TB,SSD,M.2-2280,1
Sabrent Rocket 4 Plus 1 TB,27500,1 TB,SSD,M.2-2280,1
Samsung Spinpoint F3 EG 2 TB,45000,2 TB,5400RPM,"3.5""",1
Seagate EXOS Enterprise 8 TB,50000,8 TB,7200RPM,"3.5""",1
SanDisk SSD PLUS 1 TB,24700,1 TB,SSD,"2.5""",1
Seagate BarraCuda 120 2 TB,23000,2 TB,SSD,"2.5""",1
Western Digital Blue SN550 2 TB,23000,2 TB,SSD,M.2-2280,1
SanDisk EXTREME PRO 1 TB,24700,1 TB,SSD,M.2-2280,1
Seagate Momentus 7200.4 320 GB,1800,320 GB,7200RPM,"2.5""",1
Western Digital Caviar Green 1 TB,21000,1 TB,5400RPM,"3.5""",1
Silicon Power P34A80 1 TB,24700,1 TB,SSD,M.2-2280,1
Samsung 860 QVO 4 TB,75000,4 TB,SSD,"2.5""",1
Seagate FireCuda 520 1 TB,32000,1 TB,SSD,M.2-2280,1
Samsung 970 Pro 512 GB,14000,512 GB,SSD,M.2-2280,1
Toshiba XG5 256 GB,12000,256 GB,SSD,M.2-2280,1
Crucial BX500 480 GB,12000,480 GB,SSD,"2.5""",1
Seagate BarraCuda 510 500 GB,12000,500 GB,SSD,M.2-2280,1
Toshiba MK3259GSXP 320 GB,47500,320 GB,5400RPM,"2.5""",1
Samsung 870 QVO 4 TB,75000,4 TB,SSD,"2.5""",1
Seagate Exos X16 16 TB,68000,16 TB,7200RPM,"3.5""",1
Western Digital Caviar Blue 640 GB,8000,640 GB,7200RPM,"3.5""",1
Team GX2 1 TB,24700,1 TB,SSD,"2.5""",1
Intel 660p Series 1.02 TB,27500,1.02 TB,SSD,M.2-2280,1
Crucial BX500 240 GB,6500,240 GB,SSD,"2.5""",1
Silicon Power US70 1 TB,24700,1 TB,SSD,M.2-2280,1
Corsair MP600 PRO XT 2 TB,47000,2 TB,SSD,M.2-2280,1
Western Digital Caviar Black 2 TB,18000,2 TB,7200RPM,"3.5""",1
Samsung Spinpoint F2 EG 1.5 TB,38000,1.5 TB,5400RPM,"3.5""",1
PNY XLR8 CS03040 2 TB,48000,2 TB,SSD,M.2-2280,1
Seagate Barracuda 250 GB,2000,250 GB,7200RPM,"3.5""",1
Seagate FireCuda 520 500 GB,17000,500 GB,SSD,M.2-2280,1
Team T-Force VULCAN 1 TB,24700,1 TB,SSD,"2.5""",1
Samsung 860 QVO 1 TB,26500,1 TB,SSD,"2.5""",1
Patriot P300 512 GB,14000,512 GB,SSD,M.2-2280,1
Seagate FireCuda 120 2 TB,69000,2 TB,SSD,"2.5""",1
Western Digital Black 500 GB,7000,500 GB,7200RPM,"2.5""",1
Team T-Create Classic 1 TB,24700,1 TB,SSD,M.2-2280,1
Inland Premium 512 GB,14000,512 GB,SSD,M.2-2280,1
ADATA XPG 8100 4 TB,84000,4 TB,SSD,M.2-2280,1
Western Digital Red 1 TB,18000,1 TB,5400RPM,"2.5""",1
Hitachi HGST Ultrastar 2 TB,48000,2 TB,7200RPM,"3.5""",1
Western Digital Blue 6 TB,62000,6 TB,5400RPM,"3.5""",1
